maturity,h,beta_low,se_low,t_low,p_low,beta_high,se_high,t_high,p_high,N,r2,hac_lag
1,0,-0.029591537527031017,0.04540053840840011,-0.6517882510740428,0.5145377819581327,-1.4535100153203193,0.48910548176637314,-2.971772080883373,0.00296086395787471,886,0.032768587711067165,1
1,1,-0.7112132607976434,0.4743361202797983,-1.4993866804368967,0.133773346979721,-0.5939362058725884,0.5193779162902753,-1.1435530607748121,0.252809037600916,885,0.07873964034193282,2
1,2,-0.9379833232516571,0.6212271318908125,-1.509887889791198,0.1310720333017292,-1.364004975165442,0.6754356819655031,-2.019444651186057,0.04344102460664857,884,0.053445721287801784,3
1,3,-0.3595163674124758,0.6195358913781747,-0.5802994990535927,0.5617126651930633,-1.0637793720623943,0.5463282650902995,-1.9471432104772544,0.05151756782139127,883,0.032227871305217204,4
1,4,-0.12125534090221525,0.6796245177024741,-0.17841519507290404,0.8583969168103738,-0.6374002380862646,0.5704425566896503,-1.1173784820423955,0.2638325315998753,882,0.017282329539269337,5
1,5,0.3044765538840113,0.8038279940355488,0.37878321748339855,0.7048488508795313,-1.123236079497672,0.499687040260398,-2.2478791503424396,0.02458389700119009,881,0.017135685668465683,6
1,6,-0.31434779179081795,0.5687464657887267,-0.5527028486320112,0.5804669024263952,-0.6482439673923895,0.5285163003859173,-1.2265354293122999,0.21999725120472402,880,0.009518431445412645,7
1,7,-0.6479068528081078,0.5718436517996297,-1.1330139816523312,0.25720838186077066,-0.6091877525864458,0.5651527602515203,-1.0779169729531672,0.2810708101898278,879,0.012256091712767203,8
1,8,-0.6367412886625756,0.5592725190940784,-1.1385170322582323,0.254904650903652,-1.684777829511804,0.6451228854065887,-2.6115610957592565,0.009012988191381377,878,0.01618269738641187,9
5,0,-0.013924068541258999,0.0216208569853997,-0.6440109451101662,0.5195683365834249,-1.3172540281161287,0.6506042252107224,-2.0246625783739525,0.04290202370033994,886,0.038757021869659236,1
