maturity,h,beta_low,se_low,t_low,p_low,beta_high,se_high,t_high,p_high,N,r2,hac_lag
1,0,-0.029591537527031017,0.04540053840840011,-0.6517882510740428,0.5145377819581327,-1.4535100153203193,0.48910548176637314,-2.971772080883373,0.00296086395787471,886,0.032768587711067165,1
1,1,-0.6057298433660275,0.3735385096418989,-1.6215994542215315,0.104889139600626,0.8744091714409333,0.5630883191773761,1.552881034219233,0.12045155856899875,886,0.14555478080969242,2
1,2,-0.22510520926257394,0.3687670006262562,-0.6104266620394191,0.541579210889158,-0.7717209320091358,0.48012134389294314,-1.607345605075231,0.10797857531780909,885,0.0617374633262292,3
1,3,0.5759563550368918,0.32086483111571495,1.7950124139007992,0.07265172210325549,0.29958482334890674,0.47481627774852214,0.6309489320152929,0.5280739159588836,884,0.05726738349381144,4
1,4,0.23692982882911062,0.2565674159791117,0.9234603229912879,0.35576736809698895,0.42980992541660124,0.45338963605653587,0.9479923916103933,0.34313332751962344,883,0.01699490346650301,5
1,5,0.43346244673546525,0.2810568185237878,1.5422591382488673,0.12301063429140537,-0.5042646919241712,0.4270314431680606,-1.1808608007483774,0.2376580257265618,882,0.03348844580368482,6
1,6,-0.6232231586457193,0.3803635191002508,-1.638493513047604,0.10131878615732634,0.461988511597583,0.3141269733210465,1.4707062775071464,0.14137056780195856,881,0.01702028743274575,7
1,7,-0.3510313347326199,0.31142215064384204,-1.1271880757579023,0.2596629709679382,0.08813192810856824,0.26546261591463105,0.3319937453524913,0.7398939819041708,880,0.011345087341816384,8
1,8,0.009484440771283551,0.29004523472367877,0.032699867592443706,0.9739139294819265,-1.056090137827397,0.2860914560320681,-3.6914424236039385,0.0002229858777420221,879,0.01661931620328516,9
5,0,-0.013924068541258999,0.0216208569853997,-0.6440109451101662,0.5195683365834249,-1.3172540281161287,0.6506042252107224,-2.0246625783739525,0.04290202370033994,886,0.038757021869659236,1
5,1,-0.6598555997218657,0.23181607853502256,-2.84646174627691,0.0044208040377492815,0.6941428658998641,0.5231042634299488,1.3269684734519849,0.18451911171401536,886,0.055504882810328615,2
5,2,-0.642795355186307,0.20464311146573055,-3.1410554236708292,0.0016834017218555093,-0.35969963886594275,0.38633312806671694,-0.9310608196246252,0.35182210431078176,885,0.023203797496839207,3
